id_zmienna;nazwa;nazwa_ang;nazwa_skrocona;nazwa_skrocona_ang;id_tag;nazwa_tag;nazwa_tag_ang;id_pojecie;nazwa_pojecie;nazwa_pojecie_ang;definicja_pojecie;definicja_pojecie_ang;uwagi_pojecie;uwagi_pojecie_ang;data_poczatku_pojecie;data_konca_pojecie;wyjasnienia_metodologiczne;wyjasnienia_metodologiczne_ang;id_notka;opis_notka;opis_notka_ang;id_przekroj;nazwa_przekroj;nazwa_przekroj_ang;szereg_czasowy;id_czestotliwosc;nazwa_czestotliwosc;nazwa_czestotliwosc_ang;aktualizacja_ostatnia;aktualizacja_kolejna;id_zestaw;symbol_zestaw;nazwa_zestaw;nazwa_zestaw_ang;id_gestor;nazwa_gestor;nazwa_gestor_ang;id_badanie;symbol_badanie;temat_badanie;temat_badanie_ang;badanie_cel;badanie_cel_ang;id_akt;tytul_akt;tytul_akt_ang;adres;inne_publikacje;id_jednostka;nazwa_jednostki;nazwa_jednostki_ang
309;Średnie ceny za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average prices per 1 m2 of residential premises sold in market transactions;Średnie ceny za 1 m2 lokali mieszkalnych;Average prices for 1 m2 of residential premises;150;ceny;prices;4106;Średnia cena za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average price per 1 m2 of residential premises sold in market transactions;<p>Średnia wyrażona jako iloraz wartości i powierzchni użytkowej lokali mieszkalnych sprzedanych w danym okresie.</p>;<p>Average expressed as a quotient of the value and useful floor area of dwellings sold during the given period.</p>;<p>W obliczeniach brane są pod uwagę dane na temat transakcji o charakterze rynkowym tj. sprzedaż na wolnym rynku (z pewnymi wyłączeniami, np. sprzedaży między stronami spokrewnionymi) oraz sprzedaż przetargowa. W przypadku braku odpowiedniej informacji w zbiorach pochodzących z RCiWN, podział na rynek pierwotny i wtórny został przeprowadzony przyjmując założenie, że sprzedaż na rynku pierwotnym dotyczy transakcji dokonywanych na wolnym rynku, gdzie stroną sprzedającą jest osoba prawna i średnia cena za 1 m<sup>2</sup> powierzchni użytkowej lokalu wynosi co najmniej 2 000 zł. Do transakcji na rynku wtórnym zaliczono pozostałe transakcje rynkowe przeprowadzone na wolnym rynku oraz sprzedaż przetargową.</p>;<p>Calculations take into account data on market transactions, i.e. sales on the free market (with some exclusions, e.g. sales between related parties) and sales under tender procedure. In case of lack of appropriate information in datasets from RCiWN, the breakdown into the primary and secondary market is based on the assumption that sales on the primary market concern transactions made on the free market by legal persons and the average price per 1 m<sup>2</sup> of usable floor area is at least PLN 2,000. Transactions on the secondary market include the rest of market transactions concluded on the free market as well as sales under tender procedure.</p>;20100101;99991231;;;;;;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";"Poland, voivodships, poviats; Type of real estate market";2010 - 2022;1;Rok;Year;26.10.2023 00:00:00;;1250;;Rejestr Cen Nieruchomości;Register of Real Estate Prices;121;starostwa powiatowe;powiat starost offices;94;1.26.04;Obrót nieruchomościami;Real estate sales;Celem badania jest dostarczenie informacji o transakcjach kupna/sprzedaży nieruchomości według ich struktury rodzajowej i przestrzennej oraz o poziomach cen kupna/sprzedaży i dzierżawy wybranych użytków rolnych przeznaczonych na działalność rolniczą.;;;;;;;36;GUS – Departament Handlu i Usług;Trade and Services Department
309;Średnie ceny za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average prices per 1 m2 of residential premises sold in market transactions;Średnie ceny za 1 m2 lokali mieszkalnych;Average prices for 1 m2 of residential premises;150;ceny;prices;4106;Średnia cena za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average price per 1 m2 of residential premises sold in market transactions;<p>Średnia wyrażona jako iloraz wartości i powierzchni użytkowej lokali mieszkalnych sprzedanych w danym okresie.</p>;<p>Average expressed as a quotient of the value and useful floor area of dwellings sold during the given period.</p>;<p>W obliczeniach brane są pod uwagę dane na temat transakcji o charakterze rynkowym tj. sprzedaż na wolnym rynku (z pewnymi wyłączeniami, np. sprzedaży między stronami spokrewnionymi) oraz sprzedaż przetargowa. W przypadku braku odpowiedniej informacji w zbiorach pochodzących z RCiWN, podział na rynek pierwotny i wtórny został przeprowadzony przyjmując założenie, że sprzedaż na rynku pierwotnym dotyczy transakcji dokonywanych na wolnym rynku, gdzie stroną sprzedającą jest osoba prawna i średnia cena za 1 m<sup>2</sup> powierzchni użytkowej lokalu wynosi co najmniej 2 000 zł. Do transakcji na rynku wtórnym zaliczono pozostałe transakcje rynkowe przeprowadzone na wolnym rynku oraz sprzedaż przetargową.</p>;<p>Calculations take into account data on market transactions, i.e. sales on the free market (with some exclusions, e.g. sales between related parties) and sales under tender procedure. In case of lack of appropriate information in datasets from RCiWN, the breakdown into the primary and secondary market is based on the assumption that sales on the primary market concern transactions made on the free market by legal persons and the average price per 1 m<sup>2</sup> of usable floor area is at least PLN 2,000. Transactions on the secondary market include the rest of market transactions concluded on the free market as well as sales under tender procedure.</p>;20100101;99991231;;;;;;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";"Poland, voivodships, poviats; Type of real estate market";2010 - 2022;1;Rok;Year;26.10.2023 00:00:00;;1250;;Rejestr Cen Nieruchomości;Register of Real Estate Prices;121;starostwa powiatowe;powiat starost offices;249;1.64.19;Badanie cen nieruchomości mieszkalnych;Price survey of residential premises;Celem badania jest dostarczenie informacji o poziomach i dynamice średnich cen transakcyjnych nieruchomości mieszkalnych.;;;;;;;36;GUS – Departament Handlu i Usług;Trade and Services Department
309;Średnie ceny za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average prices per 1 m2 of residential premises sold in market transactions;Średnie ceny za 1 m2 lokali mieszkalnych;Average prices for 1 m2 of residential premises;150;ceny;prices;4106;Średnia cena za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average price per 1 m2 of residential premises sold in market transactions;<p>Średnia wyrażona jako iloraz wartości i powierzchni użytkowej lokali mieszkalnych sprzedanych w danym okresie.</p>;<p>Average expressed as a quotient of the value and useful floor area of dwellings sold during the given period.</p>;<p>W obliczeniach brane są pod uwagę dane na temat transakcji o charakterze rynkowym tj. sprzedaż na wolnym rynku (z pewnymi wyłączeniami, np. sprzedaży między stronami spokrewnionymi) oraz sprzedaż przetargowa. W przypadku braku odpowiedniej informacji w zbiorach pochodzących z RCiWN, podział na rynek pierwotny i wtórny został przeprowadzony przyjmując założenie, że sprzedaż na rynku pierwotnym dotyczy transakcji dokonywanych na wolnym rynku, gdzie stroną sprzedającą jest osoba prawna i średnia cena za 1 m<sup>2</sup> powierzchni użytkowej lokalu wynosi co najmniej 2 000 zł. Do transakcji na rynku wtórnym zaliczono pozostałe transakcje rynkowe przeprowadzone na wolnym rynku oraz sprzedaż przetargową.</p>;<p>Calculations take into account data on market transactions, i.e. sales on the free market (with some exclusions, e.g. sales between related parties) and sales under tender procedure. In case of lack of appropriate information in datasets from RCiWN, the breakdown into the primary and secondary market is based on the assumption that sales on the primary market concern transactions made on the free market by legal persons and the average price per 1 m<sup>2</sup> of usable floor area is at least PLN 2,000. Transactions on the secondary market include the rest of market transactions concluded on the free market as well as sales under tender procedure.</p>;20100101;99991231;;;;;;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";"Poland, voivodships, poviats; Type of real estate market";2010 - 2023;2;Kwartał;Quarter;29.04.2024 00:00:00;;1250;;Rejestr Cen Nieruchomości;Register of Real Estate Prices;121;starostwa powiatowe;powiat starost offices;94;1.26.04;Obrót nieruchomościami;Real estate sales;Celem badania jest dostarczenie informacji o transakcjach kupna/sprzedaży nieruchomości według ich struktury rodzajowej i przestrzennej oraz o poziomach cen kupna/sprzedaży i dzierżawy wybranych użytków rolnych przeznaczonych na działalność rolniczą.;;;;;;;36;GUS – Departament Handlu i Usług;Trade and Services Department
309;Średnie ceny za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average prices per 1 m2 of residential premises sold in market transactions;Średnie ceny za 1 m2 lokali mieszkalnych;Average prices for 1 m2 of residential premises;150;ceny;prices;4106;Średnia cena za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average price per 1 m2 of residential premises sold in market transactions;<p>Średnia wyrażona jako iloraz wartości i powierzchni użytkowej lokali mieszkalnych sprzedanych w danym okresie.</p>;<p>Average expressed as a quotient of the value and useful floor area of dwellings sold during the given period.</p>;<p>W obliczeniach brane są pod uwagę dane na temat transakcji o charakterze rynkowym tj. sprzedaż na wolnym rynku (z pewnymi wyłączeniami, np. sprzedaży między stronami spokrewnionymi) oraz sprzedaż przetargowa. W przypadku braku odpowiedniej informacji w zbiorach pochodzących z RCiWN, podział na rynek pierwotny i wtórny został przeprowadzony przyjmując założenie, że sprzedaż na rynku pierwotnym dotyczy transakcji dokonywanych na wolnym rynku, gdzie stroną sprzedającą jest osoba prawna i średnia cena za 1 m<sup>2</sup> powierzchni użytkowej lokalu wynosi co najmniej 2 000 zł. Do transakcji na rynku wtórnym zaliczono pozostałe transakcje rynkowe przeprowadzone na wolnym rynku oraz sprzedaż przetargową.</p>;<p>Calculations take into account data on market transactions, i.e. sales on the free market (with some exclusions, e.g. sales between related parties) and sales under tender procedure. In case of lack of appropriate information in datasets from RCiWN, the breakdown into the primary and secondary market is based on the assumption that sales on the primary market concern transactions made on the free market by legal persons and the average price per 1 m<sup>2</sup> of usable floor area is at least PLN 2,000. Transactions on the secondary market include the rest of market transactions concluded on the free market as well as sales under tender procedure.</p>;20100101;99991231;;;;;;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";"Poland, voivodships, poviats; Type of real estate market";2010 - 2023;2;Kwartał;Quarter;29.04.2024 00:00:00;;1250;;Rejestr Cen Nieruchomości;Register of Real Estate Prices;121;starostwa powiatowe;powiat starost offices;249;1.64.19;Badanie cen nieruchomości mieszkalnych;Price survey of residential premises;Celem badania jest dostarczenie informacji o poziomach i dynamice średnich cen transakcyjnych nieruchomości mieszkalnych.;;;;;;;36;GUS – Departament Handlu i Usług;Trade and Services Department
309;Średnie ceny za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average prices per 1 m2 of residential premises sold in market transactions;Średnie ceny za 1 m2 lokali mieszkalnych;Average prices for 1 m2 of residential premises;187;mieszkania;dwellings;4106;Średnia cena za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average price per 1 m2 of residential premises sold in market transactions;<p>Średnia wyrażona jako iloraz wartości i powierzchni użytkowej lokali mieszkalnych sprzedanych w danym okresie.</p>;<p>Average expressed as a quotient of the value and useful floor area of dwellings sold during the given period.</p>;<p>W obliczeniach brane są pod uwagę dane na temat transakcji o charakterze rynkowym tj. sprzedaż na wolnym rynku (z pewnymi wyłączeniami, np. sprzedaży między stronami spokrewnionymi) oraz sprzedaż przetargowa. W przypadku braku odpowiedniej informacji w zbiorach pochodzących z RCiWN, podział na rynek pierwotny i wtórny został przeprowadzony przyjmując założenie, że sprzedaż na rynku pierwotnym dotyczy transakcji dokonywanych na wolnym rynku, gdzie stroną sprzedającą jest osoba prawna i średnia cena za 1 m<sup>2</sup> powierzchni użytkowej lokalu wynosi co najmniej 2 000 zł. Do transakcji na rynku wtórnym zaliczono pozostałe transakcje rynkowe przeprowadzone na wolnym rynku oraz sprzedaż przetargową.</p>;<p>Calculations take into account data on market transactions, i.e. sales on the free market (with some exclusions, e.g. sales between related parties) and sales under tender procedure. In case of lack of appropriate information in datasets from RCiWN, the breakdown into the primary and secondary market is based on the assumption that sales on the primary market concern transactions made on the free market by legal persons and the average price per 1 m<sup>2</sup> of usable floor area is at least PLN 2,000. Transactions on the secondary market include the rest of market transactions concluded on the free market as well as sales under tender procedure.</p>;20100101;99991231;;;;;;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";"Poland, voivodships, poviats; Type of real estate market";2010 - 2022;1;Rok;Year;26.10.2023 00:00:00;;1250;;Rejestr Cen Nieruchomości;Register of Real Estate Prices;121;starostwa powiatowe;powiat starost offices;94;1.26.04;Obrót nieruchomościami;Real estate sales;Celem badania jest dostarczenie informacji o transakcjach kupna/sprzedaży nieruchomości według ich struktury rodzajowej i przestrzennej oraz o poziomach cen kupna/sprzedaży i dzierżawy wybranych użytków rolnych przeznaczonych na działalność rolniczą.;;;;;;;36;GUS – Departament Handlu i Usług;Trade and Services Department
309;Średnie ceny za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average prices per 1 m2 of residential premises sold in market transactions;Średnie ceny za 1 m2 lokali mieszkalnych;Average prices for 1 m2 of residential premises;187;mieszkania;dwellings;4106;Średnia cena za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average price per 1 m2 of residential premises sold in market transactions;<p>Średnia wyrażona jako iloraz wartości i powierzchni użytkowej lokali mieszkalnych sprzedanych w danym okresie.</p>;<p>Average expressed as a quotient of the value and useful floor area of dwellings sold during the given period.</p>;<p>W obliczeniach brane są pod uwagę dane na temat transakcji o charakterze rynkowym tj. sprzedaż na wolnym rynku (z pewnymi wyłączeniami, np. sprzedaży między stronami spokrewnionymi) oraz sprzedaż przetargowa. W przypadku braku odpowiedniej informacji w zbiorach pochodzących z RCiWN, podział na rynek pierwotny i wtórny został przeprowadzony przyjmując założenie, że sprzedaż na rynku pierwotnym dotyczy transakcji dokonywanych na wolnym rynku, gdzie stroną sprzedającą jest osoba prawna i średnia cena za 1 m<sup>2</sup> powierzchni użytkowej lokalu wynosi co najmniej 2 000 zł. Do transakcji na rynku wtórnym zaliczono pozostałe transakcje rynkowe przeprowadzone na wolnym rynku oraz sprzedaż przetargową.</p>;<p>Calculations take into account data on market transactions, i.e. sales on the free market (with some exclusions, e.g. sales between related parties) and sales under tender procedure. In case of lack of appropriate information in datasets from RCiWN, the breakdown into the primary and secondary market is based on the assumption that sales on the primary market concern transactions made on the free market by legal persons and the average price per 1 m<sup>2</sup> of usable floor area is at least PLN 2,000. Transactions on the secondary market include the rest of market transactions concluded on the free market as well as sales under tender procedure.</p>;20100101;99991231;;;;;;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";"Poland, voivodships, poviats; Type of real estate market";2010 - 2022;1;Rok;Year;26.10.2023 00:00:00;;1250;;Rejestr Cen Nieruchomości;Register of Real Estate Prices;121;starostwa powiatowe;powiat starost offices;249;1.64.19;Badanie cen nieruchomości mieszkalnych;Price survey of residential premises;Celem badania jest dostarczenie informacji o poziomach i dynamice średnich cen transakcyjnych nieruchomości mieszkalnych.;;;;;;;36;GUS – Departament Handlu i Usług;Trade and Services Department
309;Średnie ceny za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average prices per 1 m2 of residential premises sold in market transactions;Średnie ceny za 1 m2 lokali mieszkalnych;Average prices for 1 m2 of residential premises;187;mieszkania;dwellings;4106;Średnia cena za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;Average price per 1 m2 of residential premises sold in market transactions;<p>Średnia wyrażona jako iloraz wartości i powierzchni użytkowej lokali mieszkalnych sprzedanych w danym okresie.</p>;<p>Average expressed as a quotient of the value and useful floor area of dwellings sold during the given period.</p>;<p>W obliczeniach brane są pod uwagę dane na temat transakcji o charakterze rynkowym tj. sprzedaż na wolnym rynku (z pewnymi wyłączeniami, np. sprzedaży między stronami spokrewnionymi) oraz sprzedaż przetargowa. W przypadku braku odpowiedniej informacji w zbiorach pochodzących z RCiWN, podział na rynek pierwotny i wtórny został przeprowadzony przyjmując założenie, że sprzedaż na rynku pierwotnym dotyczy transakcji dokonywanych na wolnym rynku, gdzie stroną sprzedającą jest osoba prawna i średnia cena za 1 m<sup>2</sup> powierzchni użytkowej lokalu wynosi co najmniej 2 000 zł. Do transakcji na rynku wtórnym zaliczono pozostałe transakcje rynkowe przeprowadzone na wolnym rynku oraz sprzedaż przetargową.</p>;<p>Calculations take into account data on market transactions, i.e. sales on the free market (with some exclusions, e.g. sales between related parties) and sales under tender procedure. In case of lack of appropriate information in datasets from RCiWN, the breakdown into the primary and secondary market is based on the assumption that sales on the primary market concern transactions made on the free market by legal persons and the average price per 1 m<sup>2</sup> of usable floor area is at least PLN 2,000. Transactions on the secondary market include the rest of market transactions concluded on the free market as well as sales under tender procedure.</p>;20100101;99991231;;;;;;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";"Poland, voivodships, poviats; Type of real estate market";2010 - 2023;2;Kwartał;Quarter;29.04.2024 00:00:00;;1250;;Rejestr Cen Nieruchomości;Register of Real Estate Prices;121;starostwa powiatowe;powiat starost offices;94;1.26.04;Obrót nieruchomościami;Real estate sales;Celem badania jest dostarczenie informacji o transakcjach kupna/sprzedaży nieruchomości według ich struktury rodzajowej i przestrzennej oraz o poziomach cen kupna/sprzedaży i dzierżawy wybranych użytków rolnych przeznaczonych na działalność rolniczą.;;;;;;;36;GUS – Departament Handlu i Usług;Trade and Services Department
